Trading Date,No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
2020-01-02,51,ASII,Astra International Tbk.,--S4BXO1,6925,6925,02 Jan 2020,6925,6925,6775,6875,-50,15008600,102561007500,3370,4916.4,6900,480900,6875,344200,40483553140,40483553140,40483553140,9845900,7743700,1688980,11463110300,2
2020-01-03,51,ASII,Astra International Tbk.,--S4BXO1,6875,6925,03 Jan 2020,6925,6950,6825,6950,75,19068800,131751020000,4659,4970.1,6950,896000,6900,970000,40483553140,40483553140,40483553140,7863400,14046300,2788185,19213207275,5
2020-01-06,51,ASII,Astra International Tbk.,--S4BXO1,6950,6900,06 Jan 2020,6875,6900,6750,6750,-200,22261900,151762290000,4443,4827.0,6825,36500,6750,195300,40483553140,40483553140,40483553140,14565000,8830400,100160,686097000,4
2020-01-07,51,ASII,Astra International Tbk.,--S4BXO1,6750,6800,07 Jan 2020,6800,6825,6675,6775,25,27963000,188120780000,4909,4844.9,6775,32800,6750,200,40483553140,40483553140,40483553140,14563400,13900400,356806,2420198550,3
2020-01-08,51,ASII,Astra International Tbk.,--S4BXO1,6775,6700,08 Jan 2020,6700,6825,6700,6775,0,15150400,102543017500,2993,4844.9,6800,413900,6775,71800,40483553140,40483553140,40483553140,7171500,12022600,465683,3207474400,7
2020-01-09,52,ASII,Astra International Tbk.,--S4BXO1,6775,6800,09 Jan 2020,6800,6875,6750,6875,100,19691200,133984767500,5608,4916.4,6875,727100,6825,32900,40483553140,40483553140,40483553140,9524900,11472600,3758592,25525158500,8
2020-01-10,52,ASII,Astra International Tbk.,--S4BXO1,6875,6900,10 Jan 2020,6900,6925,6825,6825,-50,17687600,121316875000,3653,4880.7,6825,46900,6800,591300,40483553140,40483553140,40483553140,12196500,10495000,1146801,7845664575,8
2020-01-13,52,ASII,Astra International Tbk.,--S4BXO1,6825,6850,13 Jan 2020,6850,6925,6825,6925,100,29585200,203304452500,4516,4952.2,6925,1372000,6900,2200,40483553140,40483553140,40483553140,21404800,13951000,246854,1689015050,4
2020-01-14,53,ASII,Astra International Tbk.,--S4BXO1,6925,6975,14 Jan 2020,6950,7175,6925,7175,250,41214400,289957785000,7213,5131.0,7175,2788200,7150,655400,40483553140,40483553140,40483553140,7943900,22086200,8294546,58209105650,15
2020-01-15,53,ASII,Astra International Tbk.,--S4BXO1,7175,7150,15 Jan 2020,7125,7250,7025,7200,25,38535100,275549207500,9325,5148.9,7200,1717600,7075,11500,40483553140,40483553140,40483553140,10264600,25123100,7139006,50489596725,8
2020-01-16,53,ASII,Astra International Tbk.,--S4BXO1,7200,7125,16 Jan 2020,7125,7200,7075,7125,-75,38504400,274211992500,7846,5095.2,7125,15400,7100,91600,40483553140,40483553140,40483553140,25088100,21173200,500112,3537805550,4
2020-01-17,53,ASII,Astra International Tbk.,--S4BXO1,7125,7075,17 Jan 2020,7075,7150,7000,7075,-50,26714800,188303012500,5197,5059.5,7075,399100,7050,531700,40483553140,40483553140,40483553140,10922000,14952500,3492026,24628398325,20
2020-01-20,53,ASII,Astra International Tbk.,--S4BXO1,7075,7100,20 Jan 2020,7100,7125,6975,7000,-75,22389100,156933445000,4254,5005.8,7025,564400,7000,850600,40483553140,40483553140,40483553140,10563600,5027000,2492071,17401199415,9
2020-01-21,53,ASII,Astra International Tbk.,--S4BXO1,7000,7025,21 Jan 2020,7025,7025,6925,7025,25,12520300,87473330000,3491,5023.7,7025,1177200,6975,3200,40483553140,40483553140,40483553140,8592200,6109500,1721069,12011404055,11
2020-01-22,53,ASII,Astra International Tbk.,--S4BXO1,7025,7025,22 Jan 2020,7000,7075,6975,7000,-25,20100300,140669095000,3926,5005.8,7000,335700,6975,14700,40483553140,40483553140,40483553140,6824400,16149800,5870553,41560288500,5
2020-01-23,53,ASII,Astra International Tbk.,--S4BXO1,7000,7050,23 Jan 2020,7050,7100,7000,7050,50,18020200,127037445000,3387,5041.6,7050,1005400,7025,117800,40483553140,40483553140,40483553140,6959400,11120800,14817703,104434449599,13
2020-01-24,53,ASII,Astra International Tbk.,--S4BXO1,7050,7000,24 Jan 2020,7000,7050,6975,6975,-75,13710000,96106825000,2260,4988.0,7000,61600,6975,5290200,40483553140,40483553140,40483553140,6139200,5231700,6828056,47893115200,6
