Trading Date,Open,High,Low,Close,Volume,Bid Volume,Offer Volume,Foreign Sell,Foreign Buy
2020-01-02,845,850,825,840,26829200,314900,2538400,4679900,3750700
2020-01-03,845,850,840,850,52105900,3938800,4774600,308500,5636800
2020-01-06,860,890,855,885,153322300,1558700,8742600,3228600,14556400
2020-01-07,885,895,865,875,93750600,2206500,940000,6415600,2262000
2020-01-08,895,920,890,905,217122000,522100,6696100,3511700,11028100
2020-01-09,895,900,875,880,109423800,175800,1227100,12947500,17564600
2020-01-10,880,885,865,885,47623200,2672900,2884100,3417900,13426700
2020-01-13,885,890,870,870,47500600,3964000,484300,7293900,5348100
2020-01-14,870,870,845,850,98284800,573000,2862400,11838300,6232300
2020-01-15,850,865,830,835,73346600,1472800,1608800,6223600,6190500
2020-01-16,850,860,840,845,52551000,2056600,2845900,7517400,744100
2020-01-17,840,845,835,840,36767000,672600,2382100,4907300,2688600
2020-01-20,840,850,785,795,164357600,400500,3395700,10557300,6312800
2020-01-21,795,810,780,795,72996000,4535300,348300,10641000,1449200
2020-01-22,800,805,755,770,129107000,2331800,1230900,4298400,1280800
2020-01-23,785,790,765,780,38416900,2147200,210600,4455700,3762600
2020-01-24,780,790,775,785,25277000,2273600,4049100,839300,27100
2020-01-27,790,790,745,750,92354300,9663800,4600,3728100,3086600
2020-01-28,750,760,730,750,81359900,2473600,952100,3451600,3953400
2020-01-29,760,765,750,750,38092300,4573600,1049600,7080100,488500
2020-01-30,750,760,740,740,60227100,8747400,89600,13620000,323500
2020-01-31,745,745,715,720,65280900,1096600,2291700,3163000,3239500
2020-02-03,725,730,705,715,45970300,339800,1488700,3358800,3010600
2020-02-04,725,735,715,730,49024800,4221500,4117300,4604300,7219500
2020-02-05,730,735,715,725,28225000,1295800,2639700,2620700,350300
2020-02-06,730,735,715,735,28180200,1582100,1506400,2025100,2030800
2020-02-07,730,740,720,730,27156200,307000,2638900,149200,735700
2020-02-10,750,750,710,720,50506700,503500,681300,3308500,39500
2020-02-11,730,730,715,720,21224000,1574800,734300,3847700,3565900
2020-02-12,720,725,705,715,20699300,417300,2705300,1774200,215000
2020-02-13,715,720,680,680,48920800,14300,121700,1776400,6070900
2020-02-14,680,690,665,675,29968100,732800,4567600,2026900,3438900
2020-02-17,675,690,670,680,33798800,29200,2428900,741900,2769500
2020-02-18,680,705,675,690,61588700,4678600,1727900,2442700,1321800
2020-02-19,700,720,700,705,94198000,1986800,2905300,1607600,5669400
2020-02-20,710,720,705,710,23540300,7285800,1008400,694400,1507800
2020-02-21,715,715,695,700,74636900,5867700,13800,3623600,8218800
2020-02-24,710,715,680,685,67340700,4940300,2748500,4640800,9423500
2020-02-25,685,685,655,660,97963600,1479200,1503400,7141700,9636100
2020-02-26,650,660,630,630,97963600,1479200,1503400,7141700,9636100
2020-02-27,630,650,595,600,104666900,1218300,868700,6532900,8053600
2020-02-28,590,590,540,575,137409800,911900,2034800,14180300,31927400
2020-03-02,580,600,570,585,117769700,3616300,1551600,7206300,13181100
2020-03-03,600,620,595,615,101217900,3736500,2366700,7982900,16227600
2020-03-04,615,635,610,630,93281500,1011500,659000,6219800,13168400
2020-03-05,635,650,625,630,53646700,610700,2167600,6007800,5491900
2020-03-06,625,630,605,610,49754200,1553000,861500,7742700,3175300
2020-03-09,590,590,550,555,105445200,661100,1166900,4728300,5587400
2020-03-10,555,585,555,575,76294500,3844100,286800,7707500,3935900
2020-03-11,580,585,530,540,84825600,737000,355200,13725300,5309500
2020-03-12,520,520,488,490,98610300,461600,2464700,4950200,8932400
2020-03-13,470,490,456,478,117132200,1901200,659000,13007800,10336200
2020-03-16,474,474,446,446,57292700,0,10174700,4295400,6174200
2020-03-17,446,446,416,416,45123800,0,24111500,1786800,3018600
2020-03-18,398,410,388,388,78790100,0,20993800,3569600,6529400
2020-03-19,362,364,362,362,8977100,0,32865300,18000,995700
2020-03-20,360,386,338,374,164706400,951900,569700,29863700,17742600
2020-03-23,370,370,348,348,90136700,0,14581000,4219500,11211800
2020-03-24,348,374,340,364,155141100,968000,1428300,11307300,16805400
2020-03-26,366,432,366,416,267248200,2021700,680200,25988000,27070600
2020-03-27,432,505,426,460,292787100,437300,40000,18667900,28262500
2020-03-30,450,460,428,432,74651200,143100,2084600,5992600,2320300
2020-03-31,440,464,434,450,89306500,170400,431800,9540000,1087300
2020-04-01,450,462,434,436,81224700,754100,121900,5661500,9735700
2020-04-02,436,454,424,452,83577100,1563700,882400,3384400,3412600
2020-04-03,458,472,450,464,115728200,665800,177400,3673500,7139300
2020-04-06,466,540,466,540,224870500,814200,1377900,21292800,7049300
2020-04-07,580,590,520,555,256413700,424900,1695300,24556900,5857000
2020-04-08,555,555,520,520,90030300,0,14436700,5083100,2948600
2020-04-09,510,540,492,520,105623600,626900,2120600,8590600,5550100
2020-04-13,520,555,510,535,72240600,3808400,1301400,4935800,1911900
2020-04-14,550,560,540,555,84352000,2203700,5484000,3792100,3139500
2020-04-15,560,565,525,525,87961700,1931700,762000,20472200,12791600
2020-04-16,535,535,494,505,100312000,29300,2812800,11952400,5549400
2020-04-17,520,530,500,520,94759700,2520200,2228000,13097300,1157300
2020-04-20,515,520,496,500,80546300,4890100,1343000,15779100,1972800
2020-04-21,500,500,476,482,92065100,2686500,1315000,10609000,4012400
2020-04-22,476,496,466,492,74583700,5800,780000,3516000,2409500
2020-04-23,500,505,490,498,86760800,1194900,3087200,5699100,8398000
2020-04-24,496,515,486,494,86275300,1916300,1313000,3181400,2783700
2020-04-27,494,510,494,505,56062600,432900,6579100,5377400,13917400
2020-04-28,505,510,490,492,45388100,1637200,86900,5454100,5016000
2020-04-29,492,500,492,498,25492400,901100,1243800,4356000,7429500
