Trading Date,Open,High,Low,Close,Volume,Bid Volume,Offer Volume,Foreign Sell,Foreign Buy
2020-01-02,6695,6780,6680,6690,9889000,1927900,1318500,2010800,7649600
2020-01-03,6750,6800,6725,6800,9551100,2400,2652400,3489600,8407100
2020-01-06,6720,6750,6690,6735,5460000,1512200,4100,3618900,2005800
2020-01-07,6735,6770,6730,6740,9004500,4100,1228000,6169500,4869800
2020-01-08,6670,6745,6670,6680,10738500,1054100,1800,9179200,3535700
2020-01-09,6740,6755,6730,6740,8072700,1332100,944800,4264200,5789900
2020-01-10,6765,6825,6710,6725,14672400,4218700,32000,11239400,7916900
2020-01-13,6740,6760,6735,6745,13571000,44000,1941700,7249600,9903700
2020-01-14,6745,6885,6740,6870,18716400,2900,1146500,5342400,17090100
2020-01-15,6870,7060,6800,6835,15124700,2460400,23400,8756200,10130900
2020-01-16,6805,6890,6795,6850,17786300,900,126500,10400400,8700300
2020-01-17,6840,6890,6800,6875,7649900,100,519800,4792400,4812900
2020-01-20,6950,6975,6830,6835,18710900,1058300,2500,16830800,5478500
2020-01-21,6885,6895,6825,6830,20796900,1966200,4200,19990500,6586400
2020-01-22,6855,6895,6835,6840,18862300,128400,923800,12600800,9332700
2020-01-23,6885,6895,6830,6840,17545600,1600,3673500,16509200,8035300
2020-01-24,6820,6880,6810,6810,13930700,1259100,3400,12513300,6022700
2020-01-27,6865,6940,6815,6840,7935800,2276500,1937100,1669800,5357800
2020-01-28,6835,6845,6755,6790,16523000,425100,20500,12594100,4930000
2020-01-29,6800,6845,6770,6785,8764200,129200,27800,5246300,4396000
2020-01-30,6845,6845,6730,6740,14398000,194700,7645000,11593400,8191000
2020-01-31,6800,6805,6480,6480,32627300,83400,400,27657800,10632400
2020-02-03,6480,6585,6370,6440,29959400,1021900,1279200,24819200,10088200
2020-02-04,6570,6620,6520,6600,22663300,17500,1589200,6326500,17864200
2020-02-05,6780,6780,6650,6730,24600500,700,446000,6856000,21984400
2020-02-06,6740,6780,6680,6740,30938700,500,1515900,12579900,28336700
2020-02-07,6710,6780,6705,6760,16521800,43400,152100,7059300,14330700
2020-02-10,6760,6785,6630,6785,13315700,200,1744300,8423000,10260100
2020-02-11,6785,6785,6745,6780,15505300,404600,173300,8747400,10400000
2020-02-12,6800,6800,6760,6800,13994300,200,431000,7317600,9365200
2020-02-13,6820,6820,6740,6790,9947400,3284400,4393500,6025100,5437200
2020-02-14,6780,6795,6675,6680,29405700,136500,2013600,26555200,10839100
2020-02-17,6680,6750,6680,6720,23063800,910500,2944100,20629400,11276600
2020-02-18,6685,6720,6670,6695,19687300,71900,100,18732500,13105700
2020-02-19,6665,6760,6665,6695,14918800,23600,1009700,9329300,10198600
2020-02-20,6690,6695,6565,6595,27344900,238000,6100,19306900,8347400
2020-02-21,6600,6660,6595,6615,19652200,42000,100,17174800,12661000
